Platform,Manufactur,Year,Publisher,NA,EU,JP,Other,Global,Critic_Score,Critic_Count,User_Score,User_Count,Developer
XB,Microsoft,2002,Microsoft Game Studios,0.07,0.02,0.0,0.0,0.1,28.0,13.0,4.6,8.0,Media Vision
X360,Microsoft,2005,Take-Two Interactive,0.09,0.0,0.0,0.01,0.1,75.0,37.0,6.1,24.0,2K Sports
Wii,Nintendo,2011,Activision,0.07,0.02,0.0,0.01,0.1,36.0,10.0,4.5,15.0,Silicon Knights
XB,Microsoft,2005,Take-Two Interactive,0.07,0.02,0.0,0.0,0.1,82.0,17.0,9.2,6.0,2K Sports
DS,Nintendo,2006,Rising Star Games,0.07,0.0,0.03,0.01,0.1,73.0,36.0,8.2,35.0,Grasshopper Manufacture
PSP,Sony,2008,Capcom,0.09,0.0,0.0,0.01,0.1,62.0,19.0,8.0,8.0,High Voltage Software
PC,Microsoft,2011,Electronic Arts,0.05,0.04,0.0,0.01,0.1,43.0,12.0,5.0,56.0,Other
XB,Microsoft,2005,Vivendi Games,0.07,0.02,0.0,0.0,0.1,46.0,17.0,8.0,10.0,Eurocom Entertainment Software
Wii,Nintendo,2007,Tecmo Koei,0.08,0.0,0.01,0.01,0.1,65.0,33.0,7.7,14.0,ArtePiazza
GC,Nintendo,2001,Kemco,0.08,0.02,0.0,0.0,0.1,39.0,11.0,2.9,11.0,Kemco
PSV,Sony,2013,PQube,0.04,0.04,0.0,0.02,0.1,83.0,16.0,9.2,87.0,5pb
XB,Microsoft,2004,Ubisoft,0.07,0.02,0.0,0.0,0.1,67.0,21.0,5.2,6.0,Venom Games
PS2,Sony,2004,Global Star,0.05,0.04,0.0,0.01,0.1,42.0,19.0,8.3,18.0,Starsphere Interactive
PS4,Sony,2015,Capcom,0.0,0.08,0.0,0.01,0.1,71.0,28.0,5.9,94.0,Other Ocean Interactive
PS4,Sony,2016,CCP,0.03,0.05,0.0,0.02,0.1,73.0,26.0,6.3,37.0,CCP
PSP,Sony,2009,Namco Bandai Games,0.09,0.0,0.0,0.01,0.1,28.0,16.0,0.9,50.0,Dimps Corporation
PS4,Sony,2015,Ubisoft,0.0,0.08,0.0,0.01,0.1,73.0,13.0,6.8,50.0,Ivory Tower
PS4,Sony,2014,Nippon Ichi Software,0.05,0.02,0.02,0.01,0.1,53.0,31.0,6.0,79.0,Kadokawa
X360,Microsoft,2012,Konami Digital Entertainment,0.06,0.03,0.0,0.01,0.1,52.0,46.0,5.5,65.0,Rebellion
PS2,Sony,2007,Capcom,0.05,0.04,0.0,0.01,0.1,62.0,26.0,9.1,7.0,Milestone
PS3,Sony,2012,Konami Digital Entertainment,0.04,0.03,0.01,0.01,0.1,53.0,19.0,7.2,22.0,Gaijin Entertainment
3DS,Nintendo,2011,Sega,0.06,0.03,0.0,0.01,0.1,55.0,10.0,4.2,5.0,Red Fly Studio
3DS,Nintendo,2011,Ubisoft,0.05,0.04,0.0,0.01,0.1,51.0,15.0,5.9,14.0,AQ Interactive
PC,Microsoft,2014,Codemasters,0.0,0.09,0.0,0.01,0.1,61.0,20.0,4.8,65.0,Codemasters Birmingham
DS,Nintendo,2009,Rising Star Games,0.08,0.0,0.0,0.01,0.1,72.0,7.0,6.8,6.0,Natsume
DS,Nintendo,2009,Namco Bandai Games,0.06,0.0,0.03,0.0,0.1,63.0,27.0,6.6,10.0,Tri-Crescendo
PS2,Sony,2007,Sega,0.0,0.0,0.1,0.0,0.1,64.0,24.0,7.3,17.0,Neverland
DS,Nintendo,2006,Namco Bandai Games,0.09,0.0,0.0,0.01,0.1,71.0,8.0,7.6,27.0,Bec
X360,Microsoft,2010,Electronic Arts,0.09,0.0,0.0,0.01,0.1,56.0,15.0,5.5,4.0,Behaviour Interactive
PS2,Sony,2004,505 Games,0.05,0.04,0.0,0.01,0.1,73.0,39.0,7.5,13.0,Arc System Works
Wii,Nintendo,2009,Konami Digital Entertainment,0.09,0.0,0.0,0.01,0.1,71.0,7.0,8.2,5.0,Loose Cannon Studios
WiiU,Nintendo,2015,Yacht Club Games,0.05,0.04,0.0,0.01,0.1,88.0,24.0,8.3,280.0,Yacht Club Games
PSV,Sony,2014,Nippon Ichi Software,0.02,0.0,0.06,0.01,0.1,66.0,25.0,7.3,24.0,Experience Inc.
XB,Microsoft,2003,THQ,0.07,0.02,0.0,0.0,0.1,87.0,23.0,8.5,14.0,Climax Group
Wii,Nintendo,2007,Codemasters,0.08,0.0,0.0,0.01,0.1,62.0,25.0,6.2,32.0,IR Gurus
PS2,Sony,2006,505 Games,0.0,0.0,0.1,0.0,0.1,71.0,30.0,7.7,43.0,Gust
GBA,Nintendo,2006,Konami Digital Entertainment,0.07,0.03,0.0,0.0,0.1,86.0,4.0,8.4,12.0,KCET
PS4,Sony,2015,Tecmo Koei,0.02,0.01,0.06,0.01,0.1,71.0,29.0,6.5,15.0,Omega Force
XB,Microsoft,2002,Microsoft Game Studios,0.05,0.02,0.02,0.0,0.1,83.0,20.0,8.5,20.0,Capcom
PSP,Sony,2006,Capcom,0.08,0.0,0.0,0.01,0.1,74.0,34.0,6.8,6.0,Capcom
3DS,Nintendo,2011,Deep Silver,0.07,0.02,0.0,0.01,0.1,58.0,16.0,5.9,28.0,Papaya Studios
Wii,Nintendo,2008,Eidos Interactive,0.09,0.0,0.0,0.01,0.1,78.0,30.0,7.7,17.0,BudCat
DS,Nintendo,2006,Ignition Entertainment,0.09,0.0,0.0,0.01,0.1,48.0,19.0,4.8,6.0,SNK Playmore
PC,Microsoft,2006,Sega,0.0,0.08,0.0,0.02,0.1,88.0,39.0,8.9,648.0,Creative Assembly
X360,Microsoft,2009,Phantom EFX,0.09,0.0,0.0,0.01,0.1,44.0,25.0,4.8,76.0,8Monkey Labs
XOne,Microsoft,2016,Activision,0.05,0.04,0.0,0.01,0.1,78.0,14.0,6.0,8.0,Toys for Bob
XB,Microsoft,2002,Activision,0.07,0.02,0.0,0.0,0.1,54.0,18.0,5.0,4.0,Treyarch
PSP,Sony,2006,Electronic Arts,0.09,0.0,0.0,0.01,0.1,66.0,13.0,5.3,6.0,Exient Entertainment
PSV,Sony,2016,Namco Bandai Games,0.0,0.02,0.07,0.0,0.1,62.0,4.0,7.8,10.0,Spike Chunsoft
X360,Microsoft,2011,THQ,0.05,0.03,0.0,0.01,0.09,60.0,16.0,7.0,7.0,Eurocom Entertainment Software
XB,Microsoft,2005,Ubisoft,0.07,0.02,0.0,0.0,0.09,61.0,43.0,4.1,9.0,Cyberlore Studios
PS,Sony,2000,Sony Computer Entertainment,0.05,0.04,0.0,0.01,0.09,61.0,11.0,8.3,7.0,Argonaut Games
PS2,Sony,2006,THQ,0.05,0.04,0.0,0.01,0.09,62.0,13.0,8.7,10.0,Blue Tongue Entertainment
PS3,Sony,2011,Capcom,0.0,0.04,0.04,0.01,0.09,80.0,36.0,6.2,114.0,Capcom
X360,Microsoft,2011,Square Enix,0.07,0.02,0.0,0.01,0.09,43.0,42.0,1.2,116.0,FeelPlus
GC,Nintendo,2005,Namco Bandai Games,0.07,0.02,0.0,0.0,0.09,66.0,17.0,7.3,10.0,Blitz Games
DS,Nintendo,2007,Ghostlight,0.08,0.0,0.0,0.01,0.09,73.0,28.0,7.3,6.0,odenis studio
3DS,Nintendo,2012,Nintendo,0.09,0.0,0.0,0.01,0.09,71.0,11.0,7.9,17.0,Nintendo
XB,Microsoft,2004,Eidos Interactive,0.07,0.02,0.0,0.0,0.09,65.0,25.0,6.4,7.0,Climax Group
PS3,Sony,2014,Namco Bandai Games,0.05,0.03,0.0,0.02,0.09,59.0,11.0,6.3,4.0,Vicious Cycle
PSP,Sony,2009,Idea Factory,0.08,0.0,0.0,0.01,0.09,79.0,4.0,8.3,30.0,Idea Factory
PS2,Sony,2003,Acclaim Entertainment,0.05,0.04,0.0,0.01,0.09,61.0,13.0,7.8,6.0,Climax Group
PC,Microsoft,2011,Kalypso Media,0.07,0.02,0.0,0.01,0.09,65.0,35.0,4.6,106.0,Realmforge Studios
Wii,Nintendo,2008,Activision,0.09,0.0,0.0,0.01,0.09,70.0,8.0,8.0,6.0,Now Production
X360,Microsoft,2011,Deep Silver,0.05,0.03,0.0,0.01,0.09,46.0,9.0,6.5,4.0,49Games
X360,Microsoft,2007,Tecmo Koei,0.08,0.01,0.0,0.01,0.09,63.0,26.0,6.8,16.0,Omega Force
PC,Microsoft,2009,Electronic Arts,0.0,0.08,0.0,0.01,0.09,87.0,26.0,7.5,435.0,Criterion Games
PS2,Sony,2001,From Software,0.02,0.02,0.04,0.01,0.09,64.0,13.0,7.8,6.0,From Software
GBA,Nintendo,2002,THQ,0.07,0.02,0.0,0.0,0.09,63.0,13.0,4.8,4.0,3d6 Games
PSP,Sony,2005,Namco Bandai Games,0.08,0.0,0.0,0.01,0.09,68.0,24.0,7.7,26.0,Microvision
X360,Microsoft,2009,Evolved Games,0.08,0.01,0.0,0.01,0.09,38.0,22.0,3.5,37.0,Atomic Motion
PC,Microsoft,1999,Microsoft Game Studios,0.01,0.08,0.0,0.01,0.09,92.0,21.0,9.0,801.0,Ensemble Studios
Wii,Nintendo,2008,D3Publisher,0.08,0.01,0.0,0.01,0.09,42.0,10.0,1.0,7.0,Tamsoft
PS2,Sony,2004,Sega,0.05,0.04,0.0,0.01,0.09,61.0,14.0,6.5,11.0,Nex Entertainment
XB,Microsoft,2002,THQ,0.07,0.02,0.0,0.0,0.09,84.0,18.0,8.4,16.0,Climax Group
PS2,Sony,2004,Take-Two Interactive,0.05,0.04,0.0,0.01,0.09,70.0,20.0,8.6,18.0,Artificial Mind and Movement
PC,Microsoft,2007,Microsoft Game Studios,0.01,0.06,0.0,0.02,0.09,72.0,32.0,5.6,216.0,Microsoft Game Studios
PS2,Sony,2004,Konami Digital Entertainment,0.05,0.04,0.0,0.01,0.09,82.0,46.0,8.5,13.0,Treasure
Wii,Nintendo,2007,Electronic Arts,0.06,0.03,0.0,0.01,0.09,56.0,29.0,7.0,24.0,BudCat
PSP,Sony,2009,Take-Two Interactive,0.06,0.02,0.0,0.02,0.09,80.0,44.0,7.8,12.0,Rockstar Leeds
X360,Microsoft,2010,JoWood Productions,0.04,0.04,0.01,0.01,0.09,64.0,21.0,5.2,52.0,Spellbound
PS2,Sony,2005,Majesco Entertainment,0.05,0.04,0.0,0.01,0.09,86.0,33.0,8.7,61.0,BudCat
Wii,Nintendo,2007,Game Factory,0.07,0.01,0.0,0.01,0.09,58.0,15.0,8.5,8.0,The Game Factory
PS2,Sony,2004,Atari,0.05,0.04,0.0,0.01,0.09,63.0,9.0,7.3,23.0,Black Ship Games
PS4,Sony,2016,Activision,0.05,0.02,0.0,0.02,0.09,44.0,49.0,5.5,163.0,PlatinumGames
PS2,Sony,2003,Atari,0.05,0.04,0.0,0.01,0.09,58.0,10.0,6.5,4.0,Bandai
GC,Nintendo,2004,O3 Entertainment,0.07,0.02,0.0,0.0,0.09,78.0,28.0,8.5,15.0,The Behemoth
Wii,Nintendo,2008,Rising Star Games,0.09,0.0,0.0,0.01,0.09,52.0,29.0,7.0,4.0,Tecmo
XB,Microsoft,2005,Microsoft Game Studios,0.07,0.02,0.0,0.0,0.09,94.0,32.0,8.7,121.0,Team Ninja
DS,Nintendo,2006,505 Games,0.06,0.02,0.0,0.01,0.09,60.0,25.0,6.8,6.0,BeeWorks
XB,Microsoft,2004,Atari,0.07,0.02,0.0,0.0,0.09,58.0,10.0,8.0,4.0,Artech Studios
PS3,Sony,2007,Electronic Arts,0.08,0.0,0.0,0.01,0.09,67.0,15.0,3.8,4.0,EA Canada
DS,Nintendo,2007,Namco Bandai Games,0.09,0.0,0.0,0.01,0.09,46.0,13.0,7.6,17.0,Art
PS2,Sony,2003,Konami Digital Entertainment,0.05,0.04,0.0,0.01,0.09,59.0,25.0,8.6,43.0,Eighting
PSP,Sony,2007,Atari,0.08,0.0,0.0,0.01,0.09,64.0,17.0,6.0,4.0,Stainless Games
GC,Nintendo,2003,Namco Bandai Games,0.07,0.02,0.0,0.0,0.09,77.0,18.0,7.6,8.0,Argonaut Games
PSV,Sony,2015,PQube,0.0,0.03,0.05,0.01,0.09,86.0,7.0,9.3,20.0,5pb
PC,Microsoft,2016,Sega,0.0,0.09,0.0,0.01,0.09,81.0,41.0,4.3,57.0,Sports Interactive
PS2,Sony,2003,Sony Computer Entertainment,0.05,0.04,0.0,0.01,0.09,73.0,25.0,8.3,26.0,Media Vision
PSV,Sony,2011,Square Enix,0.04,0.04,0.0,0.02,0.09,57.0,43.0,6.6,28.0,"Entersphere, Inc."
XB,Microsoft,2005,Activision,0.07,0.02,0.0,0.0,0.09,71.0,20.0,9.3,4.0,Shaba Games
DS,Nintendo,2007,Midway Games,0.07,0.01,0.0,0.01,0.09,73.0,26.0,8.6,22.0,Other Ocean Interactive
PS2,Sony,2005,Eidos Interactive,0.04,0.04,0.0,0.01,0.09,71.0,36.0,9.0,25.0,Deadline Games
PS,Sony,2001,Virgin Interactive,0.05,0.03,0.0,0.01,0.09,85.0,9.0,8.8,31.0,ProSoft
PS2,Sony,2005,Tecmo Koei,0.04,0.03,0.0,0.01,0.09,71.0,13.0,8.5,10.0,Koei
PSP,Sony,2008,Tecmo Koei,0.03,0.0,0.05,0.01,0.09,72.0,45.0,7.0,41.0,Nippon Ichi Software
PSP,Sony,2005,Ubisoft,0.08,0.0,0.0,0.01,0.09,70.0,37.0,8.7,22.0,Sidhe Interactive
DS,Nintendo,2009,Aspyr,0.08,0.0,0.0,0.01,0.09,45.0,10.0,8.1,31.0,Big Blue Bubble Inc.
PSP,Sony,2007,Ubisoft,0.08,0.0,0.0,0.01,0.09,44.0,4.0,5.4,7.0,Virtuos
DC,Sega,2000,Sega,0.0,0.0,0.09,0.0,0.09,93.0,21.0,9.4,98.0,Overworks
GC,Nintendo,2002,Infogrames,0.07,0.02,0.0,0.0,0.09,85.0,8.0,7.3,7.0,Monster Games Inc.
PS2,Sony,2002,Play It,0.04,0.03,0.0,0.01,0.09,80.0,4.0,9.0,41.0,Takara
X360,Microsoft,2011,Konami Digital Entertainment,0.08,0.0,0.0,0.01,0.09,65.0,5.0,8.8,8.0,Isopod Labs
PSP,Sony,2008,Sony Computer Entertainment,0.0,0.01,0.08,0.0,0.09,79.0,28.0,7.7,13.0,"SCE/WWS, SCE Japan Studio"
PS2,Sony,2001,Eidos Interactive,0.04,0.03,0.0,0.01,0.09,71.0,20.0,7.8,8.0,Core Design Ltd.
PSP,Sony,2006,505 Games,0.07,0.0,0.02,0.01,0.09,68.0,11.0,7.7,17.0,Sting
PS3,Sony,2014,Namco Bandai Games,0.06,0.02,0.0,0.02,0.09,49.0,12.0,5.8,32.0,Prope
3DS,Nintendo,2011,Ubisoft,0.05,0.04,0.0,0.01,0.09,48.0,13.0,5.0,20.0,Ubisoft
PS3,Sony,2014,Tecmo Koei,0.05,0.03,0.0,0.02,0.09,43.0,46.0,4.5,84.0,"Spark Unlimited, comcept"
X360,Microsoft,2014,Konami Digital Entertainment,0.02,0.06,0.0,0.01,0.09,70.0,22.0,7.8,239.0,Mercury Steam
PS2,Sony,2003,Sony Computer Entertainment,0.04,0.03,0.0,0.01,0.09,69.0,44.0,8.7,22.0,SCE Studio Cambridge
PSP,Sony,2009,Konami Digital Entertainment,0.08,0.0,0.0,0.01,0.09,54.0,6.0,8.2,5.0,Konami
PC,Microsoft,2011,Konami Digital Entertainment,0.0,0.07,0.0,0.02,0.09,77.0,13.0,6.4,88.0,Konami
PSP,Sony,2009,GungHo,0.07,0.0,0.01,0.01,0.09,45.0,6.0,5.8,8.0,GungHo
PSV,Sony,2011,Ubisoft,0.04,0.03,0.0,0.02,0.09,57.0,27.0,5.8,19.0,Ubisoft
PSP,Sony,2006,Electronic Arts,0.08,0.0,0.0,0.01,0.09,79.0,25.0,8.2,16.0,Aki Corp.
DS,Nintendo,2008,Ubisoft,0.08,0.01,0.0,0.01,0.09,69.0,11.0,5.8,4.0,"Funatics Software, Funatics"
X360,Microsoft,2011,Deep Silver,0.06,0.02,0.0,0.01,0.09,45.0,5.0,4.5,8.0,Trickstar Games
GBA,Nintendo,2003,THQ,0.06,0.02,0.0,0.0,0.09,85.0,37.0,8.6,18.0,Hitmaker
PSP,Sony,2010,Nippon Ichi Software,0.07,0.0,0.01,0.01,0.09,64.0,15.0,4.4,40.0,Nippon Ichi Software
PSP,Sony,2010,Nippon Ichi Software,0.06,0.0,0.03,0.01,0.09,65.0,16.0,7.3,11.0,Nippon Ichi Software
DS,Nintendo,2005,Empire Interactive,0.05,0.0,0.04,0.0,0.09,58.0,15.0,7.3,12.0,Natsume
DS,Nintendo,2008,THQ,0.08,0.0,0.0,0.01,0.09,80.0,32.0,8.7,27.0,5TH Cell
PS2,Sony,2005,Electronic Arts,0.04,0.03,0.0,0.01,0.09,71.0,15.0,8.6,19.0,HB Studios Multimedia
3DS,Nintendo,2015,Nintendo,0.0,0.01,0.08,0.0,0.09,58.0,16.0,6.4,69.0,"Ambrella, The Pokemon Company"
DS,Nintendo,2008,Nobilis,0.08,0.0,0.01,0.01,0.09,46.0,8.0,7.0,5.0,"Neverland, Idea Factory"
PS3,Sony,2010,Nippon Ichi Software,0.06,0.01,0.01,0.01,0.09,44.0,30.0,4.6,34.0,Hit Maker
PS4,Sony,2016,Sony Computer Entertainment,0.03,0.05,0.0,0.01,0.09,67.0,34.0,7.4,110.0,Evolution Studios
X360,Microsoft,2010,Tecmo Koei,0.06,0.02,0.0,0.01,0.09,37.0,39.0,3.6,31.0,Tecmo
PS3,Sony,2009,Konami Digital Entertainment,0.08,0.0,0.0,0.01,0.09,69.0,15.0,7.6,8.0,Loose Cannon Studios
DS,Nintendo,2006,Eidos Interactive,0.08,0.0,0.0,0.01,0.09,43.0,9.0,5.7,7.0,Sensory Sweep
PS3,Sony,2011,Telltale Games,0.07,0.01,0.0,0.01,0.09,66.0,5.0,6.8,51.0,Telltale Games
PSP,Sony,2008,Square Enix,0.06,0.01,0.01,0.01,0.09,84.0,29.0,6.8,13.0,Taito Corporation
GC,Nintendo,2002,Tecmo Koei,0.03,0.01,0.04,0.0,0.09,67.0,13.0,8.5,26.0,Koei
X360,Microsoft,2007,Takara Tomy,0.08,0.0,0.0,0.01,0.09,46.0,17.0,7.3,7.0,Takara Tomy
PS4,Sony,2015,Tecmo Koei,0.03,0.01,0.04,0.01,0.09,69.0,43.0,6.6,23.0,Omega Force
PS2,Sony,2003,Midway Games,0.04,0.03,0.0,0.01,0.09,67.0,25.0,8.3,17.0,Deibus Studios
PS2,Sony,2001,Metro 3D,0.04,0.03,0.0,0.01,0.09,53.0,9.0,5.6,5.0,Metro3D
PS3,Sony,2009,Codemasters,0.07,0.01,0.0,0.01,0.09,36.0,36.0,2.8,40.0,Blue Omega
X360,Microsoft,2008,505 Games,0.07,0.01,0.0,0.01,0.09,56.0,24.0,5.7,19.0,Hellbent Games
XB,Microsoft,2002,Atari,0.07,0.02,0.0,0.0,0.09,74.0,14.0,9.2,14.0,Housemarque
XB,Microsoft,2004,Konami Digital Entertainment,0.07,0.02,0.0,0.0,0.09,90.0,25.0,8.4,11.0,KCET
XB,Microsoft,2005,Ubisoft,0.07,0.02,0.0,0.0,0.09,77.0,25.0,8.5,11.0,Rebellion
3DS,Nintendo,2011,Sunsoft,0.07,0.0,0.02,0.0,0.09,67.0,11.0,5.3,4.0,SunSoft
XB,Microsoft,2004,Atari,0.07,0.02,0.0,0.0,0.09,72.0,28.0,8.7,7.0,Monster Games Inc.
PS3,Sony,2011,PQube,0.0,0.0,0.09,0.0,0.09,73.0,6.0,7.5,27.0,Arc System Works
XB,Microsoft,2002,Tecmo Koei,0.04,0.01,0.04,0.0,0.09,78.0,19.0,8.2,10.0,Koei
DS,Nintendo,2008,Playlogic Game Factory,0.08,0.0,0.0,0.01,0.09,48.0,15.0,5.3,8.0,Smack Down Productions
PS,Sony,2001,Activision,0.05,0.03,0.0,0.01,0.09,63.0,7.0,7.2,6.0,"Activision, Traveller's Tales"
PSP,Sony,2006,Capcom,0.08,0.0,0.0,0.01,0.09,63.0,24.0,6.3,6.0,Clover Studio
PC,Microsoft,2015,Bethesda Softworks,0.0,0.08,0.0,0.0,0.09,76.0,30.0,7.6,338.0,MachineGames
X360,Microsoft,2014,Codemasters,0.03,0.05,0.0,0.01,0.09,75.0,15.0,6.0,56.0,Codemasters
GC,Nintendo,2003,Atari,0.07,0.02,0.0,0.0,0.09,85.0,52.0,8.5,42.0,Treasure
XB,Microsoft,2005,Midway Games,0.07,0.02,0.0,0.0,0.09,76.0,36.0,9.1,8.0,Surreal Software
PS2,Sony,2006,Tecmo Koei,0.04,0.03,0.0,0.01,0.09,76.0,8.0,8.0,7.0,Koei
Wii,Nintendo,2008,Vivendi Games,0.08,0.0,0.0,0.01,0.09,39.0,7.0,6.4,5.0,Eurocom Entertainment Software
PSP,Sony,2010,Atlus,0.06,0.0,0.02,0.01,0.09,75.0,10.0,7.7,7.0,Sting
3DS,Nintendo,2016,505 Games,0.0,0.04,0.05,0.0,0.09,71.0,6.0,7.1,21.0,Re-Logic
GC,Nintendo,2005,Namco Bandai Games,0.07,0.02,0.0,0.0,0.09,55.0,4.0,8.1,19.0,Bandai
X360,Microsoft,2006,Idea Factory,0.08,0.0,0.0,0.01,0.09,59.0,16.0,7.5,19.0,Xpec
GC,Nintendo,2005,Activision,0.07,0.02,0.0,0.0,0.09,68.0,11.0,8.0,9.0,Krome Studios
Wii,Nintendo,2006,Midway Games,0.08,0.0,0.0,0.01,0.09,45.0,12.0,1.4,5.0,Artificial Mind and Movement
PC,Microsoft,2014,Deep Silver,0.0,0.08,0.0,0.0,0.09,65.0,49.0,5.7,822.0,Piranha Bytes
X360,Microsoft,2008,505 Games,0.07,0.0,0.01,0.01,0.09,71.0,22.0,6.6,8.0,Arc System Works
XB,Microsoft,2004,Konami Digital Entertainment,0.06,0.02,0.0,0.0,0.09,80.0,13.0,8.5,4.0,Secret Level
PS2,Sony,2005,505 Games,0.04,0.03,0.0,0.01,0.09,78.0,12.0,8.5,17.0,S-Neo
PSP,Sony,2009,Playlogic Game Factory,0.05,0.03,0.0,0.01,0.09,66.0,25.0,8.2,20.0,Hydravision
GC,Nintendo,2002,THQ,0.07,0.02,0.0,0.0,0.09,42.0,4.0,5.1,7.0,Big Sky Software
DS,Nintendo,2009,Electronic Arts,0.08,0.0,0.0,0.01,0.09,82.0,46.0,8.0,38.0,EA Tiburon
PS,Sony,2000,Sony Computer Entertainment,0.05,0.03,0.0,0.01,0.09,85.0,7.0,8.9,16.0,Attention To Detail
PS2,Sony,2007,Tecmo Koei,0.04,0.03,0.0,0.01,0.09,50.0,11.0,8.0,9.0,Koei
Wii,Nintendo,2011,Activision,0.06,0.02,0.0,0.01,0.09,62.0,9.0,5.2,6.0,Beenox
Wii,Nintendo,2008,Eidos Interactive,0.08,0.0,0.0,0.01,0.09,28.0,5.0,2.5,11.0,Collision Studios
XB,Microsoft,2004,Atari,0.06,0.02,0.0,0.0,0.09,72.0,17.0,6.5,6.0,Stormfront Studios
DS,Nintendo,2010,MTV Games,0.07,0.01,0.0,0.01,0.09,79.0,8.0,5.5,6.0,Backbone Entertainment
GBA,Nintendo,2006,LucasArts,0.06,0.02,0.0,0.0,0.09,55.0,5.0,7.0,6.0,Amaze Entertainment
XB,Microsoft,2005,Disney Interactive Studios,0.06,0.02,0.0,0.0,0.09,65.0,19.0,7.3,6.0,Capcom
GBA,Nintendo,2003,Kemco,0.06,0.02,0.0,0.0,0.09,78.0,12.0,7.6,5.0,Tantalus Interactive
PC,Microsoft,2011,THQ,0.05,0.02,0.0,0.01,0.09,75.0,29.0,6.7,273.0,Volition Inc.
Wii,Nintendo,2011,Rising Star Games,0.06,0.02,0.0,0.01,0.09,84.0,19.0,8.7,18.0,Gaijin Games
XOne,Microsoft,2015,Bigben Interactive,0.03,0.05,0.0,0.01,0.09,20.0,4.0,3.1,30.0,HB Studios Multimedia
GC,Nintendo,2003,Ubisoft,0.07,0.02,0.0,0.0,0.09,73.0,27.0,7.7,20.0,Ubisoft Paris
Wii,Nintendo,2010,Majesco Entertainment,0.08,0.0,0.0,0.01,0.09,56.0,7.0,8.2,5.0,G1M2
PS2,Sony,2001,Ubisoft,0.04,0.03,0.0,0.01,0.09,70.0,14.0,7.5,6.0,Racjin
X360,Microsoft,2009,Eidos Interactive,0.05,0.03,0.0,0.01,0.09,30.0,21.0,5.9,33.0,Rebellion
X360,Microsoft,2007,Vivendi Games,0.07,0.01,0.0,0.01,0.09,66.0,43.0,7.1,16.0,"TimeGate Studios, Day 1 Studios"
WiiU,Nintendo,2013,Ubisoft,0.04,0.03,0.0,0.01,0.09,42.0,5.0,5.6,21.0,WayForward
PS4,Sony,2014,Square Enix,0.0,0.07,0.0,0.01,0.09,74.0,40.0,6.7,128.0,Nixxes Software
PC,Microsoft,2008,Electronic Arts,0.0,0.07,0.0,0.01,0.09,75.0,10.0,7.7,19.0,Electronic Arts
PS2,Sony,2005,Capcom,0.04,0.03,0.0,0.01,0.09,70.0,39.0,8.1,36.0,Grasshopper Manufacture
PC,Microsoft,2002,Microsoft Game Studios,0.02,0.06,0.0,0.01,0.09,89.0,31.0,8.9,484.0,Ensemble Studios
PS2,Sony,2004,Sega,0.04,0.03,0.0,0.01,0.09,54.0,29.0,6.9,7.0,Sonic Team
PS3,Sony,2011,THQ,0.07,0.01,0.0,0.01,0.09,70.0,4.0,7.0,4.0,THQ
GBA,Nintendo,2006,THQ,0.06,0.02,0.0,0.0,0.09,69.0,10.0,9.0,4.0,Artificial Mind and Movement
X360,Microsoft,2009,Ubisoft,0.07,0.0,0.0,0.01,0.09,62.0,12.0,6.5,11.0,Ubisoft Shanghai
PS2,Sony,2001,Natsume,0.04,0.03,0.0,0.01,0.09,63.0,5.0,7.1,16.0,Indi
XB,Microsoft,2007,Electronic Arts,0.06,0.02,0.0,0.0,0.08,82.0,4.0,8.1,8.0,EA Sports
PS2,Sony,2000,Konami Digital Entertainment,0.04,0.03,0.0,0.01,0.08,48.0,16.0,6.3,39.0,KCEJ
DS,Nintendo,2008,DSI Games,0.08,0.0,0.0,0.01,0.08,38.0,5.0,3.2,5.0,ECI
PC,Microsoft,2004,Vivendi Games,0.0,0.07,0.0,0.02,0.08,88.0,9.0,8.9,9851.0,Valve Software
PC,Microsoft,2011,DTP Entertainment,0.02,0.05,0.0,0.01,0.08,72.0,27.0,7.7,80.0,Wizarbox
X360,Microsoft,2007,Ubisoft,0.08,0.0,0.0,0.01,0.08,43.0,11.0,6.7,55.0,Red Storm Entertainment
X360,Microsoft,2008,Valcon Games,0.06,0.02,0.0,0.01,0.08,73.0,11.0,7.5,12.0,Gulti
PS3,Sony,2012,Activision,0.07,0.0,0.0,0.01,0.08,76.0,4.0,4.5,15.0,Eutechnyx
PC,Microsoft,2006,LucasArts,0.01,0.06,0.0,0.01,0.08,79.0,45.0,8.4,240.0,Petroglyph
PS4,Sony,2016,PQube,0.04,0.0,0.03,0.01,0.08,85.0,21.0,7.6,39.0,Arc System Works
XB,Microsoft,2003,Sega,0.06,0.02,0.0,0.0,0.08,72.0,32.0,9.2,5.0,Wow Entertainment
DS,Nintendo,2008,Sting,0.06,0.0,0.02,0.0,0.08,76.0,25.0,8.6,23.0,Sting
DS,Nintendo,2005,Electronic Arts,0.08,0.0,0.0,0.01,0.08,34.0,6.0,6.5,16.0,"EA Canada, Sensory Sweep"
3DS,Nintendo,2011,Majesco Entertainment,0.08,0.0,0.0,0.01,0.08,75.0,8.0,7.7,18.0,Shin'en
3DS,Nintendo,2011,Sega,0.05,0.02,0.0,0.01,0.08,51.0,9.0,5.0,6.0,High Voltage Software
GBA,Nintendo,2003,Capcom,0.06,0.02,0.0,0.0,0.08,64.0,21.0,8.7,7.0,Capcom
