Platform,Manufactur,Year,Publisher,NA,EU,JP,Other,Global,Developer
PS2,Sony,2005,Sony Computer Entertainment,0.06,0.05,0.0,0.02,0.13,SCE Japan Studio
PS2,Sony,2003,Ubisoft,0.06,0.05,0.0,0.02,0.13,Light Weight
PS4,Sony,2015,Square Enix,0.0,0.06,0.06,0.01,0.13,Square Enix
SAT,Sega,1996,Sega,0.0,0.0,0.13,0.0,0.13,Other
PSP,Sony,2008,Sony Computer Entertainment,0.04,0.03,0.04,0.02,0.13,High Impact Games
DS,Nintendo,2009,Activision,0.12,0.0,0.0,0.01,0.13,WayForward
Wii,Nintendo,2009,Activision,0.11,0.01,0.0,0.01,0.13,Activision
SAT,Sega,1997,Hudson Soft,0.0,0.0,0.13,0.0,0.13,Other
GBA,Nintendo,2003,Vivendi Games,0.09,0.03,0.0,0.0,0.13,Shin'en
PS2,Sony,2003,Eidos Interactive,0.06,0.05,0.0,0.02,0.13,Crystal Dynamics
DS,Nintendo,2008,Activision,0.11,0.01,0.0,0.01,0.13,Vicarious Visions
Wii,Nintendo,2009,Mindscape,0.0,0.12,0.0,0.01,0.13,Other
X360,Microsoft,2010,Take-Two Interactive,0.1,0.02,0.0,0.01,0.13,Gearbox Software
WiiU,Nintendo,2014,Ubisoft,0.07,0.05,0.0,0.01,0.13,Ubisoft Romania
PSP,Sony,2011,PQube,0.03,0.02,0.07,0.01,0.13,Arc System Works
DS,Nintendo,2007,Banpresto,0.07,0.0,0.05,0.01,0.13,Flight-Plan
DS,Nintendo,2006,Activision,0.12,0.0,0.0,0.01,0.13,Torus Games
PSP,Sony,2010,Konami Digital Entertainment,0.0,0.0,0.13,0.0,0.13,Other
X360,Microsoft,2008,THQ,0.08,0.04,0.0,0.01,0.13,Other
Wii,Nintendo,2008,Zoo Games,0.12,0.0,0.0,0.01,0.13,Big Blue Bubble Inc.
WiiU,Nintendo,2012,Warner Bros. Interactive Entertainment,0.09,0.03,0.0,0.01,0.13,"Phosphor Games Studio, LLC"
XB,Microsoft,2002,Sega,0.08,0.02,0.03,0.0,0.13,From Software
Wii,Nintendo,2008,Zoo Digital Publishing,0.12,0.0,0.0,0.01,0.13,Slam Games
Wii,Nintendo,2010,Ubisoft,0.0,0.11,0.0,0.02,0.13,Other
DS,Nintendo,2010,Activision,0.12,0.0,0.0,0.01,0.13,Activision
PS2,Sony,2003,THQ,0.06,0.05,0.0,0.02,0.13,Outrage Games
GBA,Nintendo,2006,Disney Interactive Studios,0.09,0.03,0.0,0.0,0.13,Other
3DS,Nintendo,2011,Warner Bros. Interactive Entertainment,0.09,0.03,0.0,0.01,0.13,Griptonite Games
DS,Nintendo,2007,Natsume,0.12,0.0,0.0,0.01,0.13,Platinum Egg
DS,Nintendo,2010,Enterbrain,0.0,0.0,0.13,0.0,0.13,Other
PS2,Sony,2008,MTV Games,0.06,0.05,0.0,0.02,0.13,Harmonix Music Systems
3DS,Nintendo,2011,Sega,0.0,0.0,0.13,0.0,0.13,Other
Wii,Nintendo,2009,SouthPeak Games,0.12,0.0,0.0,0.01,0.13,Dancing Dots
PS,Sony,1995,Sony Computer Entertainment,0.0,0.0,0.12,0.01,0.13,Other
PS2,Sony,2007,Sony Computer Entertainment,0.06,0.05,0.0,0.02,0.13,SCEA San Diego Studios
X360,Microsoft,2010,Capcom,0.0,0.0,0.13,0.0,0.13,Other
PS2,Sony,2004,Ghostlight,0.06,0.05,0.0,0.02,0.13,Atlus Co.
PSV,Sony,2014,Tecmo Koei,0.02,0.02,0.07,0.01,0.13,Koei Tecmo Games
X360,Microsoft,2011,Electronic Arts,0.06,0.06,0.0,0.01,0.13,Behaviour Interactive
3DS,Nintendo,2015,Namco Bandai Games,0.0,0.0,0.13,0.0,0.13,Other
